Well_ID,X_GK,Y_GK,x_km,y_km,DRASTIC,Infiltration,Lithology,Land_Use_Soil,Topo_slope_pct,Unsaturated_Zone,Inside_Aquifer,K_mday,head_m,NO3_mgL
L104,4386526.000000001,4619116.000000004,4.775000000000931,42.87203000000399,128,,,,,,YES,,,
L105,4387877.0,4618381.0,6.126,42.13703000000026,128,,,,,,YES,,,
L107,4386174.000000001,4617856.0,4.423000000000932,41.61203000000026,128,,,,,,YES,,,
L108,4387824.000000001,4624035.999999998,6.073000000000931,47.7920299999984,154,,,,,,YES,,,
L109,4388514.000000001,4622748.0,6.763000000000932,46.50403000000026,114,,,,,,YES,,,
L110,4388738.0,4621872.000000004,6.987,45.62803000000399,154,,,,,,YES,,,
L112,4389197.000000001,4621003.0,7.446000000000931,44.75903000000026,154,,,,,,YES,,,
L113,4389109.000000001,4619958.0,7.358000000000931,43.714030000000264,150,,,,,,YES,,,
L114,4389365.0,4618696.0,7.614,42.45203000000026,150,,,,,,YES,,,
L116,4387723.000000002,4615984.000000002,5.972000000001863,39.74003000000212,128,,,,,,YES,,,
L117,4386493.000000002,4616095.000000002,4.7420000000018625,39.851030000002126,128,,,,,,YES,,,
H100,4381750.905906519,4616444.16931699,-9.409348107874393e-05,40.20019931699056,123,,,,,,NO,,,
H98,4384263.129680967,4617007.732944122,2.512129680966958,40.763762944121844,128,,,,,,YES,,,
H93,4384759.224423157,4617797.515773684,3.0082244231570514,41.55354577368405,128,,,,,,YES,,,
H92,4383568.5970419,4617868.953416558,1.8175970419002696,41.624983416558244,123,,,,,,YES,,,
H81,4382651.813958335,4618535.704750061,0.9008139583347365,42.291734750061295,123,,,,,,NO,,,
H77,4385037.037478783,4619234.206147064,3.286037478783168,42.990236147064714,128,,,,,,YES,,,
V8,4384227.785595268,4620207.943431012,2.476785595268011,43.96397343101259,126,,,,,,YES,,,
V10,4385902.023770137,4620975.895887055,4.151023770136758,44.731925887055695,97,,,,,,YES,,,
V4,4383961.512805776,4620934.656082351,2.210512805775739,44.69068608235102,90,,,,,,YES,,,
V2,4385220.596851721,4622661.590543164,3.469596851721406,46.417620543164205,97,,,,,,YES,,,
