X_GK,Y_GK,channel_azimuth_deg,source
4388051.0,4625943.97,67.7,river
4388051.0,4626643.97,58.2,river
4388051.0,4627343.97,62.0,river
4388751.0,4593743.97,93.7,river
4388751.0,4594443.97,98.8,river
4388751.0,4595143.97,100.0,river
4388751.0,4595843.97,98.3,river
4388751.0,4596543.97,103.0,river
4388751.0,4597243.97,107.9,river
4388751.0,4597943.97,113.0,river
4388751.0,4598643.97,137.4,river
4388751.0,4599343.97,2.4,river
4388751.0,4600043.97,174.5,river
4388751.0,4600743.97,112.4,river
4388751.0,4601443.97,104.6,river
4388751.0,4602143.97,140.1,river
4388751.0,4602843.97,159.9,river
4388751.0,4603543.97,154.8,river
4388751.0,4604243.97,161.5,river
4388751.0,4604943.97,167.6,river
4388751.0,4605643.97,170.1,river
4388751.0,4606343.97,173.7,river
4388751.0,4607043.97,175.3,river
4388751.0,4607743.97,4.8,river
4388751.0,4608443.97,83.0,river
4388751.0,4609143.97,85.3,river
4388751.0,4609843.97,88.8,river
4388751.0,4610543.97,94.8,river
4388751.0,4611243.97,96.3,river
4388751.0,4611943.97,97.1,river
4388751.0,4612643.97,100.6,river
4388751.0,4613343.97,103.4,river
4388751.0,4614043.97,105.8,river
4388751.0,4614743.97,108.6,river
4388751.0,4615443.97,142.0,river
4388751.0,4616143.97,8.5,river
4388751.0,4616843.97,20.9,river
4388751.0,4617543.97,14.5,river
4388751.0,4618243.97,12.3,river
4388751.0,4618943.97,15.1,river
4388751.0,4619643.97,6.4,river
4388751.0,4620343.97,125.3,river
4388751.0,4621043.97,113.8,river
4388751.0,4621743.97,113.5,river
4388751.0,4622443.97,110.8,river
4388751.0,4623143.97,109.0,river
4388751.0,4623843.97,106.6,river
4388751.0,4624543.97,102.2,river
4388751.0,4625243.97,93.7,river
4388751.0,4625943.97,69.2,river
4388751.0,4626643.97,58.1,river
4389451.0,4592343.97,95.9,river
4389451.0,4593043.97,95.9,river
4389451.0,4593743.97,99.2,river
4389451.0,4594443.97,101.6,river
4389451.0,4595143.97,102.0,river
4389451.0,4595843.97,101.9,river
4389451.0,4596543.97,104.8,river
4389451.0,4597243.97,109.3,river
4389451.0,4597943.97,114.1,river
