x_km,y_km,src
10.313,41.649,map1_tophat
10.372,41.649,map1_tophat
10.432,41.65,map1_tophat
10.491,41.651,map1_tophat
8.301,41.527,map1_tophat
8.36,41.528,map1_tophat
8.419,41.528,map1_tophat
8.478,41.529,map1_tophat
8.537,41.53,map1_tophat
8.597,41.53,map1_tophat
8.656,41.531,map1_tophat
8.715,41.532,map1_tophat
8.774,41.532,map1_tophat
8.833,41.533,map1_tophat
8.893,41.533,map1_tophat
9.307,41.538,map1_tophat
9.366,41.539,map1_tophat
9.425,41.539,map1_tophat
9.485,41.54,map1_tophat
9.544,41.54,map1_tophat
9.603,41.541,map1_tophat
9.662,41.542,map1_tophat
9.721,41.542,map1_tophat
9.781,41.543,map1_tophat
9.84,41.544,map1_tophat
9.899,41.544,map1_tophat
9.958,41.545,map1_tophat
10.018,41.545,map1_tophat
10.077,41.546,map1_tophat
10.136,41.547,map1_tophat
10.195,41.547,map1_tophat
10.254,41.548,map1_tophat
10.314,41.549,map1_tophat
10.373,41.549,map1_tophat
10.432,41.55,map1_tophat
8.36,41.428,map1_tophat
8.419,41.428,map1_tophat
8.479,41.429,map1_tophat
8.538,41.43,map1_tophat
8.597,41.43,map1_tophat
8.656,41.431,map1_tophat
8.715,41.432,map1_tophat
8.775,41.432,map1_tophat
8.834,41.433,map1_tophat
8.893,41.433,map1_tophat
8.952,41.434,map1_tophat
9.248,41.437,map1_tophat
9.307,41.438,map1_tophat
9.367,41.439,map1_tophat
9.426,41.439,map1_tophat
9.485,41.44,map1_tophat
9.544,41.44,map1_tophat
9.603,41.441,map1_tophat
9.663,41.442,map1_tophat
9.722,41.442,map1_tophat
9.781,41.443,map1_tophat
9.84,41.444,map1_tophat
9.899,41.444,map1_tophat
9.959,41.445,map1_tophat
10.018,41.445,map1_tophat
10.077,41.446,map1_tophat
10.136,41.447,map1_tophat
10.195,41.447,map1_tophat
10.255,41.448,map1_tophat
10.314,41.449,map1_tophat
10.373,41.449,map1_tophat
8.361,41.328,map1_tophat
8.42,41.328,map1_tophat
8.479,41.329,map1_tophat
8.538,41.33,map1_tophat
8.597,41.33,map1_tophat
8.657,41.331,map1_tophat
8.716,41.332,map1_tophat
8.775,41.332,map1_tophat
8.834,41.333,map1_tophat
8.893,41.333,map1_tophat
8.953,41.334,map1_tophat
9.012,41.335,map1_tophat
9.071,41.335,map1_tophat
9.13,41.336,map1_tophat
9.189,41.337,map1_tophat
9.249,41.337,map1_tophat
9.308,41.338,map1_tophat
9.367,41.339,map1_tophat
9.426,41.339,map1_tophat
9.485,41.34,map1_tophat
9.545,41.34,map1_tophat
9.604,41.341,map1_tophat
9.663,41.342,map1_tophat
9.722,41.342,map1_tophat
9.781,41.343,map1_tophat
9.841,41.344,map1_tophat
9.9,41.344,map1_tophat
9.959,41.345,map1_tophat
10.018,41.346,map1_tophat
10.077,41.346,map1_tophat
10.137,41.347,map1_tophat
10.196,41.347,map1_tophat
10.255,41.348,map1_tophat
10.314,41.349,map1_tophat
8.302,41.227,map1_tophat
8.361,41.228,map1_tophat
8.42,41.228,map1_tophat
8.479,41.229,map1_tophat
8.539,41.23,map1_tophat
8.598,41.23,map1_tophat
8.657,41.231,map1_tophat
8.716,41.232,map1_tophat
8.775,41.232,map1_tophat
8.835,41.233,map1_tophat
8.894,41.234,map1_tophat
8.953,41.234,map1_tophat
9.012,41.235,map1_tophat
9.071,41.235,map1_tophat
9.131,41.236,map1_tophat
9.19,41.237,map1_tophat
9.249,41.237,map1_tophat
9.308,41.238,map1_tophat
9.367,41.239,map1_tophat
9.427,41.239,map1_tophat
9.486,41.24,map1_tophat
9.545,41.24,map1_tophat
9.604,41.241,map1_tophat
9.663,41.242,map1_tophat
9.723,41.242,map1_tophat
9.782,41.243,map1_tophat
9.841,41.244,map1_tophat
9.9,41.244,map1_tophat
9.959,41.245,map1_tophat
10.019,41.246,map1_tophat
10.078,41.246,map1_tophat
10.137,41.247,map1_tophat
10.196,41.247,map1_tophat
10.255,41.248,map1_tophat
8.302,41.127,map1_tophat
8.361,41.128,map1_tophat
