x_km,y_km
2.471,33.166
2.648,33.168
2.708,33.168
2.767,33.169
3.832,33.18
3.892,33.181
4.188,33.184
4.247,33.185
4.306,33.185
4.365,33.186
4.424,33.187
4.484,33.187
4.543,33.188
4.602,33.188
4.661,33.189
2.412,33.065
2.471,33.066
2.649,33.068
3.774,33.08
3.833,33.08
3.892,33.081
3.951,33.081
4.129,33.083
4.188,33.084
4.247,33.085
4.306,33.085
4.366,33.086
4.543,33.088
4.602,33.088
4.662,33.089
2.412,32.965
2.472,32.966
3.833,32.98
3.892,32.981
4.188,32.984
4.248,32.985
4.307,32.985
2.413,32.865
2.472,32.866
2.413,32.765
2.472,32.766
2.354,32.664
2.413,32.665
2.473,32.666
2.828,32.67
2.887,32.67
2.355,32.564
2.414,32.565
2.828,32.57
2.887,32.57
2.355,32.464
2.414,32.465
2.829,32.47
2.888,32.47
2.355,32.365
2.415,32.365
2.829,32.37
2.888,32.37
2.947,32.371
2.356,32.265
2.77,32.269
2.829,32.27
2.889,32.27
2.297,32.164
2.356,32.165
2.711,32.168
2.771,32.169
2.83,32.17
2.889,32.17
2.238,32.063
2.297,32.064
2.357,32.065
2.653,32.068
2.712,32.068
2.771,32.069
2.83,32.07
2.889,32.07
2.238,31.963
2.298,31.964
2.653,31.968
2.712,31.968
2.771,31.969
2.83,31.97
2.18,31.863
2.239,31.863
2.298,31.864
2.594,31.867
2.653,31.868
2.712,31.868
2.772,31.869
2.831,31.87
2.89,31.87
2.121,31.762
2.18,31.763
2.594,31.767
2.654,31.768
2.713,31.768
2.772,31.769
2.831,31.77
2.89,31.77
1.944,31.66
2.003,31.661
2.062,31.661
2.121,31.662
2.536,31.666
2.595,31.667
2.654,31.668
2.713,31.668
2.772,31.669
2.832,31.67
1.944,31.56
2.003,31.561
2.062,31.561
2.477,31.566
2.536,31.567
2.595,31.567
2.654,31.568
2.714,31.568
2.773,31.569
1.826,31.459
1.885,31.46
1.944,31.46
2.004,31.461
2.477,31.466
2.536,31.467
2.596,31.467
2.655,31.468
2.714,31.468
1.767,31.358
1.826,31.359
2.418,31.365
2.478,31.366
2.537,31.367
2.596,31.367
2.655,31.368
1.767,31.258
2.36,31.265
2.419,31.265
2.478,31.266
2.537,31.267
2.596,31.267
2.36,31.165
2.419,31.165
2.478,31.166
2.537,31.167
2.597,31.167
1.295,31.053
1.354,31.054
2.36,31.065
2.419,31.065
2.479,31.066
2.538,31.067
1.177,30.952
1.236,30.953
1.295,30.953
2.42,30.965
2.479,30.966
1.118,30.851
1.177,30.852
1.236,30.853
1.059,30.751
1.118,30.751
1.177,30.752
1.0,30.65
1.059,30.651
2.066,30.662
0.941,30.55
1.0,30.55
2.007,30.561
2.066,30.562
2.125,30.562
0.882,30.449
0.942,30.45
1.001,30.45
2.066,30.462
0.824,30.348
0.883,30.349
0.942,30.35
1.001,30.35
1.06,30.351
0.765,30.248
0.824,30.248
0.883,30.249
0.942,30.25
2.008,30.261
2.067,30.262
0.706,30.147
0.765,30.148
1.949,30.16
2.008,30.161
0.706,30.047
0.766,30.048
1.89,30.06
1.95,30.06
1.832,29.959
1.891,29.96
1.654,29.857
1.714,29.858
1.773,29.859
1.832,29.859
1.655,29.757
1.714,29.758
1.832,29.759
1.655,29.657
1.833,29.659
1.892,29.66
1.655,29.557
1.715,29.558
1.892,29.56
1.656,29.457
1.715,29.458
1.479,29.355
1.538,29.356
1.597,29.357
1.656,29.357
1.715,29.358
1.479,29.255
1.538,29.256
1.597,29.257
1.716,29.258
1.775,29.259
6.274,29.307
6.333,29.307
6.393,29.308
6.452,29.309
6.215,29.206
6.275,29.207
6.334,29.207
6.393,29.208
6.452,29.209
6.511,29.209
2.131,29.062
2.19,29.063
6.216,29.106
6.275,29.107
6.453,29.109
6.512,29.109
2.191,28.963
2.25,28.964
6.157,29.005
6.216,29.006
6.571,29.01
6.631,29.01
6.69,29.011
2.25,28.864
3.612,28.878
3.671,28.879
3.73,28.88
3.789,28.88
3.849,28.881
3.908,28.881
3.967,28.882
4.026,28.883
4.085,28.883
4.145,28.884
4.204,28.885
4.263,28.885
4.322,28.886
4.381,28.886
4.441,28.887
4.5,28.888
4.559,28.888
4.618,28.889
