pt,X_GK,Y_GK,x_km,y_km
1910,4395446.47,4591726.93,13.69546999999974,15.482959999999963
1911,4395486.87,4591726.93,13.735870000000112,15.482959999999963
1912,4395527.27,4591726.93,13.776269999999553,15.482959999999963
1913,4395567.67,4591726.93,13.816669999999926,15.482959999999963
1914,4395608.07,4591726.93,13.857070000000299,15.482959999999963
1915,4395648.47,4591726.93,13.897469999999739,15.482959999999963
1916,4395688.87,4591726.93,13.937870000000112,15.482959999999963
1917,4395729.27,4591726.93,13.978269999999553,15.482959999999963
1918,4395769.66,4591726.93,14.01866000000015,15.482959999999963
1919,4395810.06,4591726.93,14.05905999999959,15.482959999999963
1920,4395850.46,4591726.93,14.099459999999963,15.482959999999963
1921,4395890.86,4591726.93,14.139860000000334,15.482959999999963
1922,4395931.26,4591726.93,14.180259999999777,15.482959999999963
1923,4395971.66,4591726.93,14.22066000000015,15.482959999999963
1924,4396012.06,4591726.93,14.26105999999959,15.482959999999963
1925,4396052.46,4591726.93,14.301459999999963,15.482959999999963
1926,4396092.86,4591726.93,14.341860000000334,15.482959999999963
1927,4396133.26,4591726.93,14.382259999999777,15.482959999999963
1928,4396173.66,4591726.93,14.42266000000015,15.482959999999963
1929,4396214.06,4591726.93,14.46305999999959,15.482959999999963
1930,4396254.46,4591726.93,14.503459999999963,15.482959999999963
1931,4396294.86,4591726.93,14.543860000000334,15.482959999999963
1932,4396335.26,4591726.93,14.584259999999777,15.482959999999963
1933,4396375.66,4591726.93,14.62466000000015,15.482959999999963
1934,4396416.06,4591726.93,14.66505999999959,15.482959999999963
1935,4396456.46,4591726.93,14.705459999999963,15.482959999999963
1936,4396496.86,4591726.93,14.745860000000336,15.482959999999963
1937,4396537.26,4591726.93,14.786259999999777,15.482959999999963
1938,4396577.66,4591726.93,14.82666000000015,15.482959999999963
1939,4396618.06,4591726.93,14.86705999999959,15.482959999999963
1940,4396658.46,4591726.93,14.907459999999963,15.482959999999963
1941,4396698.86,4591726.93,14.947860000000336,15.482959999999963
1942,4396739.26,4591726.93,14.988259999999777,15.482959999999963
1943,4396779.65,4591726.93,15.028650000000372,15.482959999999963
1944,4396820.05,4591726.93,15.069049999999814,15.482959999999963
1945,4396860.45,4591726.93,15.109450000000185,15.482959999999963
1946,4396900.85,4591726.93,15.149849999999628,15.482959999999963
1947,4396941.25,4591814.91,15.19025,15.57094000000041
1948,4396981.65,4591814.91,15.230650000000372,15.57094000000041
1949,4397022.05,4591814.91,15.271049999999814,15.57094000000041
1950,4397062.45,4591814.91,15.311450000000185,15.57094000000041
1951,4397102.85,4591814.91,15.351849999999628,15.57094000000041
1952,4397143.25,4591814.91,15.39225,15.57094000000041
1953,4397183.65,4591726.93,15.432650000000372,15.482959999999963
1954,4397183.65,4591814.91,15.432650000000372,15.57094000000041
1955,4397224.05,4591902.88,15.473049999999814,15.65891000000015
1956,4397264.45,4591902.88,15.513450000000187,15.65891000000015
1957,4397304.85,4591902.88,15.553849999999628,15.65891000000015
1958,4397345.25,4591902.88,15.59425,15.65891000000015
1959,4397385.65,4591902.88,15.634650000000372,15.65891000000015
1960,4397426.05,4591902.88,15.675049999999814,15.65891000000015
1961,4397466.45,4591902.88,15.715450000000187,15.65891000000015
