x_km,y_km
15.265,47.724
15.286,47.723
15.265,47.707
15.286,47.707
15.265,47.69
15.285,47.69
15.265,47.673
15.285,47.673
15.272,47.656
15.251,47.64
15.272,47.64
15.244,47.623
15.265,47.623
15.237,47.606
15.258,47.606
15.237,47.589
15.209,47.573
15.23,47.573
15.209,47.556
15.188,47.539
15.209,47.539
15.188,47.523
15.209,47.523
15.195,47.506
15.181,47.489
15.202,47.489
15.181,47.472
15.161,47.456
15.181,47.456
15.161,47.439
15.181,47.439
15.168,47.422
15.188,47.422
15.168,47.405
15.188,47.405
15.161,47.389
15.181,47.388
15.154,47.372
15.174,47.372
15.195,47.372
15.161,47.355
15.181,47.355
15.202,47.355
15.167,47.338
15.188,47.338
15.154,47.321
15.174,47.321
15.195,47.321
15.16,47.305
15.181,47.304
15.147,47.288
15.167,47.288
15.188,47.288
15.154,47.271
15.174,47.271
15.147,47.254
15.167,47.254
15.133,47.238
15.153,47.238
15.174,47.237
15.14,47.221
15.16,47.221
15.119,47.204
15.14,47.204
15.16,47.204
15.112,47.187
15.133,47.187
15.153,47.187
15.174,47.187
15.126,47.171
15.146,47.17
15.167,47.17
15.126,47.154
15.146,47.154
15.112,47.137
15.133,47.137
15.119,47.12
15.098,47.087
15.098,47.07
15.098,47.003
15.091,46.969
15.07,46.936
15.091,46.936
15.077,46.919
15.07,46.902
15.07,46.886
15.07,46.869
15.063,46.852
15.028,46.819
15.028,46.802
15.049,46.802
15.035,46.785
15.028,46.768
15.021,46.752
15.042,46.751
15.028,46.735
15.014,46.718
15.035,46.718
15.021,46.701
15.042,46.701
15.035,46.684
15.028,46.668
15.049,46.667
15.049,46.651
15.042,46.634
15.063,46.634
15.056,46.617
15.077,46.617
15.063,46.6
15.049,46.583
15.07,46.583
15.056,46.567
15.077,46.566
15.063,46.55
15.049,46.533
15.07,46.533
15.063,46.516
15.056,46.499
15.056,46.483
15.035,46.466
15.014,46.449
15.035,46.449
15.007,46.433
15.028,46.433
14.938,46.383
14.959,46.383
14.924,46.366
14.903,46.35
14.924,46.349
14.896,46.333
14.917,46.333
14.876,46.316
14.896,46.316
14.869,46.299
14.855,46.283
14.876,46.283
14.869,46.266
14.862,46.249
14.855,46.232
14.848,46.216
14.869,46.215
14.855,46.199
14.841,46.182
14.862,46.182
14.848,46.165
14.834,46.149
14.82,46.132
14.841,46.132
14.82,46.115
14.841,46.115
14.827,46.098
14.813,46.082
14.806,46.065
14.799,46.048
14.785,46.031
14.778,46.015
14.799,46.014
14.785,45.998
14.758,45.981
14.778,45.981
14.744,45.965
14.765,45.964
14.737,45.948
14.758,45.948
14.73,45.931
14.751,45.931
14.723,45.914
14.744,45.914
14.702,45.898
14.723,45.898
14.702,45.881
14.674,45.864
14.695,45.864
14.661,45.848
14.681,45.847
14.668,45.831
14.661,45.814
14.681,45.814
14.674,45.797
14.674,45.78
14.674,45.764
14.681,45.747
14.681,45.73
14.702,45.73
14.688,45.713
14.709,45.713
14.695,45.696
14.716,45.696
14.702,45.679
14.723,45.679
14.743,45.679
14.716,45.663
14.736,45.662
14.757,45.662
14.736,45.646
14.757,45.645
14.736,45.629
14.757,45.629
14.778,45.628
14.75,45.612
14.771,45.612
14.792,45.612
14.771,45.595
14.792,45.595
14.771,45.578
14.792,45.578
14.778,45.561
14.799,45.561
14.785,45.544
14.771,45.528
14.792,45.528
14.771,45.511
14.792,45.511
14.771,45.494
14.792,45.494
14.778,45.477
14.798,45.477
14.805,45.46
14.805,45.444
14.826,45.443
14.812,45.427
14.833,45.427
14.819,45.41
14.84,45.41
14.819,45.393
14.84,45.393
14.826,45.376
14.847,45.376
14.826,45.359
14.847,45.359
14.819,45.343
14.84,45.343
14.861,45.342
14.826,45.326
14.847,45.326
14.867,45.326
14.833,45.309
14.854,45.309
14.874,45.309
14.854,45.292
14.874,45.292
14.854,45.275
14.874,45.275
14.854,45.259
14.874,45.258
14.854,45.242
14.874,45.242
14.895,45.241
14.867,45.225
14.888,45.225
14.909,45.225
14.874,45.208
14.895,45.208
14.86,45.191
14.881,45.191
14.902,45.191
14.874,45.174
14.895,45.174
14.881,45.141
14.874,45.124
14.86,45.107
14.881,45.107
14.867,45.09
14.888,45.09
14.867,45.074
14.888,45.074
14.867,45.057
14.888,45.057
14.867,45.04
14.888,45.04
14.909,45.04
14.86,45.023
14.881,45.023
14.902,45.023
14.853,45.007
14.874,45.006
14.895,45.006
14.846,44.99
14.867,44.99
14.888,44.99
14.909,44.989
14.86,44.973
14.881,44.973
14.902,44.973
14.846,44.956
14.867,44.956
14.888,44.956
14.839,44.94
14.86,44.939
14.881,44.939
14.832,44.923
14.853,44.923
14.874,44.923
14.832,44.906
14.853,44.906
14.812,44.889
14.832,44.889
14.812,44.873
14.832,44.872
14.805,44.856
14.825,44.856
14.777,44.839
14.798,44.839
14.818,44.839
14.756,44.823
14.777,44.823
14.798,44.822
14.818,44.822
14.735,44.806
14.756,44.806
14.777,44.806
14.798,44.806
14.818,44.805
14.728,44.789
14.749,44.789
14.77,44.789
14.791,44.789
14.811,44.789
14.708,44.773
14.728,44.773
14.749,44.772
14.77,44.772
14.791,44.772
14.68,44.756
14.701,44.756
14.721,44.756
14.777,44.755
14.798,44.755
14.666,44.739
14.687,44.739
14.708,44.739
14.652,44.723
14.673,44.723
14.694,44.722
14.797,44.722
14.666,44.706
14.687,44.706
14.645,44.689
14.666,44.689
14.583,44.639
14.777,44.638
14.569,44.623
14.59,44.622
14.555,44.606
14.576,44.606
14.555,44.589
14.534,44.573
14.555,44.572
14.528,44.556
14.548,44.556
14.521,44.539
14.541,44.539
14.749,44.537
14.5,44.522
14.521,44.522
14.541,44.522
14.749,44.521
14.5,44.506
14.521,44.505
14.541,44.505
14.749,44.504
14.486,44.489
14.507,44.489
14.527,44.489
14.472,44.472
14.493,44.472
14.514,44.472
14.534,44.472
14.479,44.455
14.5,44.455
14.521,44.455
14.472,44.439
14.493,44.439
14.514,44.438
14.472,44.422
14.493,44.422
14.514,44.422
14.493,44.405
14.514,44.405
14.513,44.388
14.513,44.354
14.513,44.304
14.534,44.304
14.527,44.287
14.52,44.27
14.541,44.27
14.52,44.254
14.541,44.253
14.52,44.237
14.541,44.237
14.513,44.22
14.534,44.22
14.506,44.203
14.527,44.203
14.548,44.203
14.513,44.187
14.534,44.186
14.506,44.17
14.527,44.17
14.548,44.169
14.52,44.153
14.541,44.153
14.52,44.136
14.541,44.136
14.527,44.119
14.548,44.119
14.541,44.102
14.541,44.086
8.994,44.111
14.555,44.069
14.555,44.052
14.555,44.035
14.555,44.018
14.575,44.018
14.561,44.001
14.548,43.985
14.568,43.985
14.548,43.968
14.568,43.968
