x_km,y_km,logK_mean,logK_sd,n_mean,n_sd,h_mean
0.103682205513783,30.1720024702382,4.18361531257629,0.0659124063096562,0.258705635666847,0.00477427822768514,34.2360986709595
0.103682205513783,30.2237554761906,4.1650444316864,0.0546103889588307,0.257141705453396,0.00400710170497205,33.7688726425171
0.103682205513783,30.275508482143,4.19875604629517,0.068497832759705,0.259456404447556,0.00513420205495317,34.1826396179199
0.103682205513783,30.3272614880954,4.18956900596619,0.0726629012013534,0.258932734727859,0.00516513058767133,33.9414931488037
0.103682205513783,30.3790144940478,4.20634356498718,0.0742159828994975,0.260163875520229,0.00542530269448484,33.8299264907837
0.103682205513783,30.4307675000002,4.21005388259888,0.0634622701695375,0.2604139316082,0.00483538083330834,34.2023949813843
0.103682205513783,30.4825205059525,4.19700506210327,0.064145303904218,0.259384316205978,0.00476242674453807,33.8300229263306
0.103682205513783,30.5342735119049,4.20898288726807,0.0697231357369232,0.260413144230843,0.00542440630489643,33.8106440353394
0.103682205513783,30.5860265178573,4.21501222610474,0.0625379601785766,0.260641322135925,0.0051242363646175,34.0888691329956
0.103682205513783,30.6377795238097,4.24021458625793,0.080543732892742,0.262525033354759,0.00624541912409047,33.9619122695923
0.103682205513783,30.6895325297621,4.22556448936462,0.0781497013316743,0.261503313183785,0.00594985106203927,34.2763946914673
0.103682205513783,30.7412855357144,4.23302187919617,0.0760375638939801,0.261775926351547,0.00545193737364784,34.0384861373901
0.103682205513783,30.7930385416668,4.25405839920044,0.0657362788436269,0.263569542765617,0.0051103601080694,34.0855912780762
0.155523308270674,30.0684964583335,4.18083045005798,0.065461409013281,0.258301242887974,0.00486290348246331,34.1447192764282
0.155523308270674,30.1202494642859,4.17299384117127,0.0741597718607594,0.257885303199291,0.00532561609264885,33.8341405105591
0.155523308270674,30.1720024702382,4.2002744102478,0.0663752370230499,0.259627726078033,0.00482067545868765,34.4419664382935
0.155523308270674,30.2237554761906,4.17394202232361,0.0651635579437844,0.257663203775883,0.00483350791803811,34.0331525421143
0.155523308270674,30.275508482143,4.18640340805054,0.0741114289184385,0.258611974418163,0.00550995098772223,33.7808249664307
0.155523308270674,30.3272614880954,4.19660437583923,0.0571736685370181,0.259583523273468,0.00443441758589986,34.034907913208
0.155523308270674,30.3790144940478,4.19385612487793,0.0604512476573634,0.259333236813545,0.00440080696785736,33.4959010696411
0.155523308270674,30.4307675000002,4.21553338050842,0.0683631772706943,0.260868551135063,0.00516499128681295,34.1346554946899
0.155523308270674,30.4825205059525,4.19398948669434,0.0613481710890607,0.259055609107018,0.00433930385521142,34.2184965896606
0.155523308270674,30.5342735119049,4.22201399803162,0.0536623944197347,0.26110186457634,0.00423090334762828,34.2272657775879
0.155523308270674,30.5860265178573,4.22291228294373,0.0663009214942844,0.261277875900269,0.00514030552886251,34.1955945587158
0.155523308270674,30.6377795238097,4.22392260551453,0.0578861197546748,0.261333748102188,0.00442652663415995,33.6467230987549
0.155523308270674,30.6895325297621,4.21862454414368,0.0666157448537167,0.261006628274918,0.00513980641317165,34.106696434021
0.155523308270674,30.7412855357144,4.24290991783142,0.0619563041049146,0.262632987499237,0.00483409578283242,34.1602723312378
0.155523308270674,30.7930385416668,4.24974419593811,0.0740490283245513,0.263190503120422,0.00579845056047375,34.137368927002
0.155523308270674,30.8447915476192,4.24470602035522,0.0654280891896703,0.26261908531189,0.00483232574050229,34.1035221481323
0.155523308270674,30.8965445535716,4.24504135131836,0.0684556730855739,0.263042981028557,0.00529572083196895,33.6743506622314
0.207364411027565,30.0684964583335,4.17782476425171,0.0707122709100901,0.258079707622528,0.00511649079825388,34.0534713363647
0.207364411027565,30.1202494642859,4.16468791007996,0.0517907100318667,0.25753021389246,0.00366816492208434,33.540152015686
0.207364411027565,30.1720024702382,4.20054398536682,0.06369536057013,0.259872357845306,0.00480821784708943,34.0732494735718
0.207364411027565,30.2237554761906,4.1862961101532,0.0583522772151094,0.258728564381599,0.00453049137232567,33.7519464492798
0.207364411027565,30.275508482143,4.18275577545166,0.0478925630304525,0.258294167518616,0.00365197849666432,33.8550492858887
0.207364411027565,30.3272614880954,4.19389979362488,0.0619818843357646,0.259122763574123,0.00473721418032265,34.4315235519409
0.207364411027565,30.3790144940478,4.19578177452087,0.0653657217874163,0.259342970848083,0.00486461370428854,34.3808006668091
0.207364411027565,30.4307675000002,4.19615426063538,0.0470808719080697,0.259339783191681,0.00356202716807938,34.0502506637573
0.207364411027565,30.4825205059525,4.19910305976868,0.0709458574152936,0.259598273038864,0.00529476413541393,33.7816377639771
0.207364411027565,30.5342735119049,4.2016303062439,0.0557290814783713,0.259988145828247,0.00397995057378727,33.6863508987427
0.207364411027565,30.5860265178573,4.21566360473633,0.0584704104593173,0.260811458826065,0.00455380009268548,33.9888806915283
0.207364411027565,30.6377795238097,4.22752866744995,0.066305146468267,0.261685071587563,0.00519850270696872,33.9645757675171
0.207364411027565,30.6895325297621,4.22675617218018,0.0615856079449281,0.261477212905884,0.00474631209965763,33.7993589782715
0.207364411027565,30.7412855357144,4.22552792549133,0.0628142038573538,0.261428219676018,0.00496845140183958,34.1873937988281
0.207364411027565,30.7930385416668,4.25458045005798,0.0682331599566738,0.263614238500595,0.00526006972971519,34.0220709991455
0.207364411027565,30.8447915476192,4.23457857131958,0.0794014373641435,0.262480075955391,0.0062953004150947,33.7840099334717
0.207364411027565,30.8965445535716,4.2617650604248,0.0667063468850268,0.264084828495979,0.00512707202465521,33.6139447402954
0.207364411027565,30.948297559524,4.26009962081909,0.0666506922725186,0.264084393382072,0.00530112864199127,33.8046827316284
0.259205513784456,30.0167434523811,4.17727630615234,0.0613396294454009,0.258238487541676,0.00447098530665408,33.8041654205322
0.259205513784456,30.0684964583335,4.18583648681641,0.0639964287744511,0.258817119002342,0.00479505563011699,33.8895942687988
0.259205513784456,30.1202494642859,4.17250411987305,0.0589381331172384,0.257674867212772,0.00412492181224668,33.676243095398
0.259205513784456,30.1720024702382,4.18760327339172,0.0636413077525168,0.258803578615189,0.00466972616837955,34.2775622177124
0.259205513784456,30.2237554761906,4.1961678314209,0.0693933751332528,0.259525092840195,0.005232694814921,33.9722179794312
