set,quantity,Well_ID,residual,sigma,score,covered_loo
bootstrap OOB,logK,R13,0.11685587130481,0.102664497396591,1.13823058864641,1
bootstrap OOB,logK,R15,0.17208708796506,0.111100866621421,1.54892660334911,1
bootstrap OOB,logK,R16,0.14536283674334,0.0906383336597913,1.60376775337635,1
bootstrap OOB,logK,A1,0.17913180181332,0.101896495113026,1.75797805032079,1
bootstrap OOB,logK,A3,0.27009117534524,0.0969392563680126,2.78618988286733,1
bootstrap OOB,logK,A4,0.29600445400443,0.097917260111787,3.02300588952853,1
bootstrap OOB,logK,A5,0.43207482341422,0.160557832954915,2.69108529594783,1
bootstrap OOB,logK,A9,0.3068982790321,0.145978646953389,2.10235048369843,1
bootstrap OOB,logK,A10,0.432938000040139,0.136114342764944,3.18069346143617,1
bootstrap OOB,logK,A11,0.35489404481789,0.11099371220593,3.1974247708685,1
bootstrap OOB,logK,A12,0.1761604994121,0.0995382744681761,1.76977650409664,1
bootstrap OOB,logK,A13,0.28824583950136,0.140288489093895,2.05466493625459,1
bootstrap OOB,logK,A14,0.17325132205952,0.102122749399943,1.69650076087372,1
bootstrap OOB,logK,A17,0.16685316207502,0.0929099242049308,1.79585941440435,1
bootstrap OOB,logK,A18,0.66150412406302,0.0669180080621773,9.88529311046407,0
bootstrap OOB,logK,A20,0.24089841071797,0.123611467110713,1.94883546283136,1
bootstrap OOB,logK,A21,0.290188069903921,0.0762896583894821,3.80376680181764,1
bootstrap OOB,logK,A23,0.38982629198938,0.129894466235345,3.00110007213923,1
bootstrap OOB,logK,A24,0.41802653318422,0.159213787042232,2.62556742698003,1
bootstrap OOB,logK,A25,0.47854028957293,0.142099953873723,3.36763156164135,1
bootstrap OOB,logK,A28,0.17100213430002,0.0916261953930181,1.86630180994124,1
bootstrap OOB,logK,A30,0.20388811201618,0.0829345674720386,2.45842135831866,1
bootstrap OOB,head,P3,8.6922149467468,2.30477428741617,3.77139531372135,1
bootstrap OOB,head,P4,4.176232064076,2.39272287503739,1.74538894898589,1
bootstrap OOB,head,P5,5.7524792459276,2.42935720050988,2.36790178271036,1
bootstrap OOB,head,P9,8.2687601783059,2.29163677764248,3.60823331994714,1
bootstrap OOB,head,P10,4.2681699170007,2.58589643252199,1.65055717751156,1
bootstrap OOB,head,P12,8.7619487921397,2.0968264957258,4.17867134452954,1
bootstrap OOB,head,P13,3.2656923055649,2.30963061170395,1.41394571452948,1
bootstrap OOB,head,P15,13.2297399333879,2.27270886013412,5.82113273083609,0
bootstrap OOB,head,P17,6.5639908325978,2.74904701982414,2.38773319818215,1
bootstrap OOB,head,P19,6.3771928767363,4.2415908603241,1.5034908096367,1
bootstrap OOB,head,P20,2.608393128713,1.9885981977426,1.31167428979568,1
bootstrap OOB,head,P21,6.6184620380402,1.85577461971388,3.56641478320283,1
bootstrap OOB,head,R8,5.0892432188376,3.28604144082683,1.54874590308181,1
bootstrap OOB,head,R11,10.2840864768395,2.75900374110584,3.7274637665832,1
bootstrap OOB,head,R12,3.9067346636454,2.82325052530502,1.38377187168798,1
bootstrap OOB,head,R13,3.2512724982368,2.40216502053761,1.35347591461854,1
bootstrap OOB,head,R15,1.6660203439218,2.17424780502224,0.766251362918938,1
bootstrap OOB,head,R16,5.06288955609,1.86577951680577,2.71355190175831,1
bootstrap OOB,head,A1,5.6340782396721,2.34820714353254,2.39931057836594,1
bootstrap OOB,head,A3,19.7887368647257,2.350554519532,8.4187525540423,0
bootstrap OOB,head,A4,5.8292291243871,2.14838809116103,2.71330359182771,1
bootstrap OOB,head,A5,8.4736009077592,2.51586711000022,3.36806378766105,1
bootstrap OOB,head,A9,2.289918200175,2.09174239536041,1.09474197456348,1
bootstrap OOB,head,A10,7.4276195721748,2.58750011699333,2.87057748264208,1
bootstrap OOB,head,A11,1.8967042633981,2.3268450128273,0.8151399224882,1
bootstrap OOB,head,A12,5.6140442636278,1.88186051051523,2.98324144231644,1
bootstrap OOB,head,A13,5.0623142162959,1.91059197177938,2.64960509154723,1
bootstrap OOB,head,A14,6.1000969490944,4.94671225723374,1.23316187234744,1
bootstrap OOB,head,A17,0.491285222371399,1.97980441593804,0.248148361735331,1
bootstrap OOB,head,A18,3.1203627904256,2.90245481135236,1.07507713064849,1
bootstrap OOB,head,A20,4.4038322253105,2.0488453592488,2.14942148046017,1
bootstrap OOB,head,A21,9.0818343136046,4.73018579764582,1.91997411985901,1
bootstrap OOB,head,A23,13.8069480684068,2.27942268661075,6.05721270982707,0
bootstrap OOB,head,A24,2.3843545198441,2.70372772910823,0.881876711983323,1
bootstrap OOB,head,A25,6.6907200858707,2.63590952932459,2.5382965581467,1
bootstrap OOB,head,A28,12.1822493697658,2.21557701835453,5.49845447431719,1
bootstrap OOB,head,A30,4.5104093339708,3.14497798556056,1.43416245031899,1
