mode,fold,Well_ID,logK_obs,logK_pred,logK_sd,h_obs,h_pred,h_sd,cov90_K,cov90_h
+L5,2,P21,4.60517018598809,4.47044102350871,0.056218716760237,32,25.0129812876383,1.63405859789988,0,0
+L5,2,R12,4.60517018598809,4.59595092137655,0.0466373780014104,20,15.3602533976237,1.67665435973555,1,0
+L5,2,R15,4.60517018598809,4.52132679621379,0.0571347887123031,20,18.4749047279358,1.49108245766247,1,1
+L5,2,A1,5.29831736654804,5.1174587726593,0.0512597534212792,38,31.5667059580485,1.91485222131634,0,0
+L5,2,A18,3.91202300542815,4.55722969373067,0.0499253531066382,15,17.0827451705933,1.6747747119298,0,1
+L5,2,A25,3.91202300542815,4.38218653996786,0.0813571568943076,25,31.7050680160522,1.81402263408832,0,0
+L5,2,A30,5.29831736654804,5.12324663798014,0.0568186014768587,36,32.5416711171468,1.39624059742339,0,0
+L5,3,P9,5.01063529409626,4.74434590339661,0.0626266502620788,40,32.2448240915934,1.63979223153432,0,0
+L5,3,P15,3.91202300542815,4.25337514877319,0.0527198481734997,45,32.2988698323568,2.02477378718613,0,0
+L5,3,A3,5.29831736654804,5.18017069498698,0.0750370899976145,14,32.1035308202108,1.54689998560096,1,0
+L5,3,A9,5.29831736654804,5.08037919998169,0.0620382221056309,30,32.587054570516,1.73322073363953,0,1
+L5,3,A20,4.60517018598809,4.37226572036743,0.0764958386726129,25,29.3841234207153,1.6657992607997,0,0
+L5,3,A21,4.86753445045558,4.56322803497314,0.0683122136325933,6,10.9155482292175,1.75296178121414,0,0
+L5,3,A28,5.29831736654804,5.16434655189514,0.0878501810666089,44,32.2990396499634,1.86808058575793,1,0
+L5,4,R11,4.24849524204936,4.54623106320699,0.0638065092332453,7,16.7668479283651,2.28323781257775,0,0
+L5,4,R13,4.60517018598809,4.51461450258891,0.0645745142221138,20,17.638579305013,1.65101025751213,1,1
+L5,4,A11,3.91202300542815,4.24046220779419,0.0576138946807078,30,32.5754951477051,1.2195464870529,0,0
+L5,4,A12,4.60517018598809,4.44300206502279,0.0485797312924962,26,21.2886090596517,1.84755697583583,0,0
+L5,4,A14,4.86753445045558,4.73369162877401,0.0838378925816558,4,8.27332293192546,1.89324159073287,1,0
+L5,4,A17,4.60517018598809,4.42868895530701,0.0580829010453197,25,24.5767095565796,2.00533001868983,0,1
+L5,4,A24,3.91202300542815,4.25612468719482,0.0649836489746243,35,32.0792561213175,1.87887732868905,0,1
+L5,5,P4,5.29831736654804,5.1647555510203,0.0681327929793011,36,33.3568704605103,1.8322362355449,0,1
