OK,OK_sd,RK_DRASTIC,RK_DRASTIC_sd,RF,RF_sd,Well_ID,logK_obs,fold,head_obs,head_OK,head_OK_sd,n_from_OK
4.49821515239546,0.548906371878581,4.51063912781929,0.524228896886797,4.39648199833721,0.377092674627294,A13,4.60517018598809,5,25,28.6933987432192,7.45412864627583,0.281734528296045
4.82345857183069,0.445454524461989,4.86905007377152,0.460809536481767,4.773522461388,0.21686895718642,A14,4.86753445045558,4,4,7.08812177505764,6.36875207461217,0.318119974405947
4.62180331374478,0.475493576220393,4.63396853326635,0.483668389153879,4.58608417434029,0.265941391152193,A17,4.60517018598809,4,25,29.4100420109141,6.82072132401332,0.27783356274153
4.67980517691321,0.515130403917696,4.66629181191915,0.524962225909743,4.62467394923848,0.145094885124703,A18,3.91202300542815,2,15,18.4553796622768,7.90032694023046,0.298336402258662
4.62925158676561,0.526857070751372,4.61978458168889,0.524375672215655,4.34052240268072,0.343194994362989,A20,4.60517018598809,3,25,28.6935677394093,6.7923747399503,0.290915990468676
4.76824079174686,0.527535981854501,4.83997956201999,0.524061537371107,4.71758328311313,0.222202895878625,A21,4.86753445045558,3,6,8.64650864643509,6.59670744202599,0.319886300671
4.10317545113529,0.393514128587697,4.09403216211977,0.39920189921424,4.43793368833824,0.541956534700734,A23,3.91202300542815,1,45,37.7670053363922,6.57746850593992,0.258949081802178
4.03022404982708,0.389785832760819,4.04155887294722,0.410289184555717,4.47497188094401,0.488570298804923,A24,3.91202300542815,4,35,31.5854700496072,5.28957679993457,0.253879448848103
4.34892070141464,0.460171010376939,4.38917300496973,0.459898724737165,4.76043645985301,0.44665357984303,A25,3.91202300542815,2,25,29.9744528784545,6.80866846661034,0.264560932014363
5.17509760498766,0.405422200977164,5.13106333962786,0.419239884878128,4.80546221532942,0.595467102810063,A28,5.29831736654804,3,44,31.6711395756651,5.87736694514308,0.334514050333471
5.23243780454883,0.379594597659625,5.26201200088284,0.35104452794971,5.12438230467644,0.333116243878629,A30,5.29831736654804,2,36,35.750678161257,5.63895003707369,0.332829227224755
